H K L Icalc Imeasured Err
-3.240000000000000213e+00 0.000000000000000000e+00 2.450000000000000000e+01 1.007036466845004611e+03 1.063513700797921047e+03 1.726693462227734130e+02
-2.759999999999999787e+00 0.000000000000000000e+00 2.550000000000000000e+01 7.609463514768839332e+02 1.338122623602394015e+02 1.721249546114682403e+02
-3.240000000000000213e+00 0.000000000000000000e+00 2.550000000000000000e+01 8.167632659117489311e+02 8.079158376094710547e+02 1.516065915247421003e+02
-2.759999999999999787e+00 0.000000000000000000e+00 2.650000000000000000e+01 5.935357362590258390e+02 5.749053924697645925e+02 1.475906368769713026e+02
-3.240000000000000213e+00 0.000000000000000000e+00 2.650000000000000000e+01 6.316037152951196276e+02 5.488962094281596364e+02 1.388370925986639861e+02
-2.759999999999999787e+00 0.000000000000000000e+00 2.750000000000000000e+01 1.016598525334851843e+03 1.150462324173160596e+03 1.461065335316152130e+02
-3.240000000000000213e+00 0.000000000000000000e+00 2.750000000000000000e+01 4.701552497741789125e+02 6.136706053693196736e+02 1.417637091033879528e+02
-2.759999999999999787e+00 0.000000000000000000e+00 2.850000000000000000e+01 3.806745424979176846e+02 6.774213019390590489e+02 1.483449514118192099e+02
-3.240000000000000213e+00 0.000000000000000000e+00 2.850000000000000000e+01 8.548578594372060024e+01 1.638210984682664275e+02 1.547548464507654842e+02
-2.759999999999999787e+00 0.000000000000000000e+00 2.950000000000000000e+01 6.588667686466149007e+02 7.569587553357123397e+02 1.536232900128590586e+02
-3.240000000000000213e+00 0.000000000000000000e+00 2.950000000000000000e+01 9.760705804959758325e+02 9.453784159788046964e+02 1.518996443482505470e+02
-1.760000000000000009e+00 0.000000000000000000e+00 2.050000000000000000e+01 3.296244567298123229e+02 1.618665184316560044e+02 1.443975699349715569e+02
-2.240000000000000213e+00 0.000000000000000000e+00 2.050000000000000000e+01 2.221556266409979514e+02 5.056202095695334719e+01 1.513913144078120467e+02
-1.760000000000000009e+00 0.000000000000000000e+00 2.150000000000000000e+01 4.283694440099440044e+02 6.755170899869117420e+02 1.596313257360534408e+02
-2.240000000000000213e+00 0.000000000000000000e+00 2.150000000000000000e+01 2.854874428403553566e+02 4.042152316871797666e+02 1.678738830938273168e+02
-1.760000000000000009e+00 0.000000000000000000e+00 2.250000000000000000e+01 1.873757692590191482e+03 2.407261840555991512e+03 1.795777708438602929e+02
-2.240000000000000213e+00 0.000000000000000000e+00 2.250000000000000000e+01 1.680849479526707000e+03 1.683129998362041079e+03 1.669272858163098476e+02
-1.760000000000000009e+00 0.000000000000000000e+00 2.350000000000000000e+01 1.360283422401794496e+03 1.072043576774362009e+03 1.509267853339823944e+02
-2.240000000000000213e+00 0.000000000000000000e+00 2.350000000000000000e+01 1.173399042134863748e+03 7.594259200379310641e+02 1.452301581219444984e+02
-1.760000000000000009e+00 0.000000000000000000e+00 2.450000000000000000e+01 2.188902597015420781e+02 -2.981667735944574815e+02 1.396060165026923130e+02
-2.240000000000000213e+00 0.000000000000000000e+00 2.450000000000000000e+01 3.270591447138622243e+01 -5.227676713674736675e+01 1.377560400218444272e+02
-1.760000000000000009e+00 0.000000000000000000e+00 2.550000000000000000e+01 2.408015993801440602e-01 -3.279835250737905881e+02 1.445201448436341707e+02
-2.240000000000000213e+00 0.000000000000000000e+00 2.550000000000000000e+01 6.831133077632895834e+01 3.286570233185193501e+02 1.490442402338144632e+02
-1.760000000000000009e+00 0.000000000000000000e+00 2.650000000000000000e+01 1.211199673909713511e+03 8.950107544816128211e+02 1.492169993352801498e+02
-2.240000000000000213e+00 0.000000000000000000e+00 2.650000000000000000e+01 1.329997210689992016e+03 8.341228115815320052e+02 1.524161014091031063e+02
-1.760000000000000009e+00 0.000000000000000000e+00 2.750000000000000000e+01 1.758926424128215103e+03 1.876360141497512814e+03 1.597705569226539239e+02
-2.240000000000000213e+00 0.000000000000000000e+00 2.750000000000000000e+01 1.829883819827232401e+03 1.545652372031938285e+03 1.672212582740304470e+02
-1.760000000000000009e+00 0.000000000000000000e+00 2.850000000000000000e+01 1.060689281029267477e+02 2.836144400922348723e+02 1.610213373865401820e+02
